,author_id,post_id,author_name,link_karma,comment_karma,acc_creation_date,is_gold,is_mod,is_employee
0,au1pv8l8,vu4v61,Thefunincaifun,22339,37605,2021-03-11 10:51:35+08:00,False,False,False
1,55po5527,vu4edo,Saffronsc,35407,77250,2020-07-02 21:22:58+08:00,True,True,False
2,55po5527,vu4edo,Saffronsc,35407,77250,2020-07-02 21:22:58+08:00,True,True,False
3,55po5527,vu4edo,Saffronsc,35407,77250,2020-07-02 21:22:58+08:00,True,True,False
4,55po5527,vu4edo,Saffronsc,35407,77250,2020-07-02 21:22:58+08:00,True,True,False
5,uazlr,vu3xlp,justmewayne,28486,20028,2016-02-01 09:55:40+08:00,False,False,False
6,uazlr,vu3xlp,justmewayne,28486,20028,2016-02-01 09:55:40+08:00,False,False,False
7,uazlr,vu3xlp,justmewayne,28486,20028,2016-02-01 09:55:40+08:00,False,False,False
8,uazlr,vu3xlp,justmewayne,28486,20028,2016-02-01 09:55:40+08:00,False,False,False
9,uazlr,vu3xlp,justmewayne,28486,20028,2016-02-01 09:55:40+08:00,False,False,False
10,uazlr,vu3xlp,justmewayne,28486,20028,2016-02-01 09:55:40+08:00,False,False,False
11,6z4wpym0,vu392l,MicrotechAnalysis,127228,13038,2020-06-19 18:58:24+08:00,False,False,False
12,6z4wpym0,vu392l,MicrotechAnalysis,127228,13038,2020-06-19 18:58:24+08:00,False,False,False
13,dqp06m7b,vu1aof,IHungryAlready,1478,511,2021-08-06 10:16:00+08:00,False,False,False
14,dqp06m7b,vu1aof,IHungryAlready,1478,511,2021-08-06 10:16:00+08:00,False,False,False
15,dqp06m7b,vu1aof,IHungryAlready,1478,511,2021-08-06 10:16:00+08:00,False,False,False
16,dqp06m7b,vu1aof,IHungryAlready,1478,511,2021-08-06 10:16:00+08:00,False,False,False
17,dqp06m7b,vu1aof,IHungryAlready,1478,511,2021-08-06 10:16:00+08:00,False,False,False
18,dqp06m7b,vu1aof,IHungryAlready,1478,511,2021-08-06 10:16:00+08:00,False,False,False
19,dqp06m7b,vu1aof,IHungryAlready,1478,511,2021-08-06 10:16:00+08:00,False,False,False
20,dqp06m7b,vu1aof,IHungryAlready,1478,511,2021-08-06 10:16:00+08:00,False,False,False
21,dqp06m7b,vu1aof,IHungryAlready,1478,511,2021-08-06 10:16:00+08:00,False,False,False
22,dqp06m7b,vu1aof,IHungryAlready,1478,511,2021-08-06 10:16:00+08:00,False,False,False
