author_id,comment_id,post_id,author_name,link_karma,comment_karma,acc_creation_date,is_gold,is_mod,is_employee
1eqdt8vc,igqozbe,w2kafh,lobangbecausenomoney,13726,20069,2018-05-21 00:31:08+08:00,False,False,False
gtuz79py,igqpg22,w2kafh,Thanos_is_a_good_boy,574,19182,2021-11-23 11:21:36+08:00,False,False,False
2vx2xcyw,igqo00r,w2k8va,sneakpeek_bot,135,71275,2018-12-30 11:53:52+08:00,False,True,False
gtuz79py,igqp4ld,w2k8va,Thanos_is_a_good_boy,574,19182,2021-11-23 11:21:36+08:00,False,False,False
2fk5cd9i,igqlm6o,w2jqmg,Krazyguylone,4149,5837,2018-11-29 01:05:47+08:00,False,True,False
2vx2xcyw,igql53i,w2jqmg,sneakpeek_bot,135,71275,2018-12-30 11:53:52+08:00,False,True,False
10y6qb,igqomq6,w2jqmg,Skane1982,402,52614,2016-08-28 22:07:42+08:00,True,False,False
4qjs43wg,igqfw02,w2ip6x,yellowtofuwarrior,6052,51402,2019-10-06 11:29:25+08:00,False,False,False
dx767,igqhyr5,w2ip6x,trashmaker,17563,104573,2013-11-15 11:22:43+08:00,True,False,False
2h2dfwaj,igqkc23,w2ip6x,-_af_-,8462,147798,2018-12-04 09:29:39+08:00,False,False,False
8ixp3aww,igqlbc8,w2ip6x,sexyhades69,10898,39255,2020-11-21 10:05:55+08:00,False,False,False
gtuz79py,igqonv1,w2ip6x,Thanos_is_a_good_boy,574,19183,2021-11-23 11:21:36+08:00,False,False,False
lpf31,igql71h,w2ip6x,shiinamachi,4051,117365,2015-02-28 02:16:47+08:00,False,True,False
8kdd5,igqi3n9,w2ihru,raymmm,20,32741,2012-08-05 19:26:31+08:00,False,False,False
ihk4vlh,igqinlc,w2ihru,Ramikade,707,7518,2017-10-25 00:06:58+08:00,False,False,False
dk6t8oyp,igqf7w4,w2ihru,Doraemonhacker,8570,22189,2021-07-28 04:19:55+08:00,False,False,False
bhacd,igqgcy0,w2ihru,Mynxs,3219,42582,2013-04-28 02:07:19+08:00,False,False,False
l3ohq,igqg61n,w2ihru,in-b4,867,7512,2015-02-02 17:01:49+08:00,False,False,False
11zn1b,igq82fy,w2gzh3,septeal,562,74420,2016-10-09 13:47:11+08:00,False,False,False
13mnms,igqjflj,w2gzh3,ngrenjie,4563,101447,2016-12-17 09:00:01+08:00,False,False,False
1h2qsr,igq7g4f,w2gzh3,SiHtranger,1157,80500,2017-05-03 02:09:35+08:00,False,False,False
bhacd,igqep13,w2gzh3,Mynxs,3219,42582,2013-04-28 02:07:19+08:00,False,False,False
qejftnz,igqiuul,w2gzh3,Wowmich,1,14563,2018-07-18 07:22:13+08:00,False,False,False
370i2adz,igq2j5p,w2gluc,Boogie_p0p,485,128422,2019-02-10 19:32:49+08:00,False,False,False
sv2h1,igqdll4,w2gluc,oohlapoopoo,370,16720,2015-12-12 01:11:07+08:00,False,False,False
120j2pwa,igqgzak,w2gluc,mrwagga,5307,75175,2018-03-18 01:27:03+08:00,False,False,False
1505fk,igqmnxt,w2gluc,frehocc,108,5721,2017-02-02 16:05:08+08:00,False,False,False
1ae8o0nv,igqoakd,w2gluc,Hazelnut526,1701,18274,2018-05-02 00:04:11+08:00,False,False,False
bersiyzl,igqip8d,w2gluc,papayadurian,1,16,2021-04-08 18:03:44+08:00,False,False,False
2lz07n7x,igq8qu9,w2gluc,AdministrativeRub235,1640,37032,2020-10-07 07:56:01+08:00,False,False,False
4qxp68nl,igq9f99,w2gdbz,mrkuzan,1132,3041,2020-05-10 02:28:54+08:00,False,False,False
j7g1ftm4,igq8us3,w2gdbz,QubitQuanta,1,8737,2022-01-31 19:01:24+08:00,False,False,False
j7g1ftm4,igq3t7i,w2gdbz,QubitQuanta,1,8737,2022-01-31 19:01:24+08:00,False,False,False
2vx2xcyw,igq0kc9,w2gdbz,sneakpeek_bot,135,71275,2018-12-30 11:53:52+08:00,False,True,False
62xqunuw,igqei7o,w2gdbz,PublicSummer0,5692,7297,2020-04-10 18:56:56+08:00,False,False,False
8ev11,igq12b1,w2enol,jacobsnemesis,7154,94307,2012-07-22 21:01:25+08:00,False,False,False
1ae8o0nv,igq0ozg,w2enol,Hazelnut526,1701,18274,2018-05-02 00:04:11+08:00,False,False,False
13mnms,igq22jl,w2enol,ngrenjie,4563,101447,2016-12-17 09:00:01+08:00,False,False,False
5dun81dy,igq4bip,w2enol,_IsNull,3560,93556,2021-06-22 10:14:17+08:00,True,False,False
wxq1l,igqesvf,w2enol,PhantomWolf83,4254,94566,2016-04-07 11:53:18+08:00,False,False,False
109z7u,igqc4pr,w2enol,I_love_pillows,3716,399884,2016-08-09 23:31:32+08:00,False,False,False
cs42y,igqccmf,w2enol,crobat3,66761,74182,2013-08-16 21:57:48+08:00,False,True,False
kt5gw,igqclpc,w2enol,HeavyArmsJin,6977,37902,2015-01-19 22:24:19+08:00,False,False,False
7ctcimdo,igptvnx,w2eb3e,tauhutropikal,166,5312,2020-07-21 16:15:05+08:00,False,False,False
am0eouxu,igpriqs,w2eb3e,Familiar-Mouse4490,17718,47721,2021-02-28 21:35:53+08:00,False,False,False
5mzb5rt2,igq26f2,w2eb3e,abigbluebird,2559,40308,2020-03-15 18:05:21+08:00,False,False,False
sv2h1,igqdbqi,w2eb3e,oohlapoopoo,370,16720,2015-12-12 01:11:07+08:00,False,False,False
knam2,igq270w,w2eb3e,Zoisen,70,28821,2015-01-11 20:01:08+08:00,False,False,False
lomtabye,igqb85p,w2eb3e,sussy_bakagaijin,2,688,2022-04-08 12:15:09+08:00,False,False,False
3fkfxbcp,igq1wne,w2eb3e,milogaosiudai,5,22615,2019-07-25 14:22:00+08:00,False,False,False
ggrfy,igq6lzj,w2eb3e,shirokiri,185,2183,2014-05-07 20:41:37+08:00,False,False,False
6o3jk9,igqlsiw,w2eb3e,icwiener25,7551,6419,2018-09-05 20:15:21+08:00,False,False,False
2vx2xcyw,igpn8qd,w2eb3e,sneakpeek_bot,135,71275,2018-12-30 11:53:52+08:00,False,True,False
nh0nh,igqan8u,w2e54h,HailSlaytan,3,678,2015-05-14 23:22:13+08:00,False,False,False
p9xwn,igq1qzg,w2e54h,Dankobot,294,13929,2015-08-03 17:51:05+08:00,False,False,False
2vx2xcyw,igpm8k9,w2e54h,sneakpeek_bot,135,71275,2018-12-30 11:53:52+08:00,False,True,False
j5ygx61z,igpi0ri,w2biie,japchaeonescalator,12,1411,2022-01-30 12:59:42+08:00,False,False,False
c14dgy3e,igpm52z,w2biie,Radiant-Bicycle-8728,58,800,2021-05-09 23:02:11+08:00,False,False,False
qcbvdrw,igpmtxt,w2biie,silentscope90210,27183,70405,2018-01-01 12:07:30+08:00,False,False,False
8dekyyfa,igprsis,w2biie,ApprehensiveHold7950,33,1058,2020-11-21 13:39:57+08:00,False,False,False
arysm020,igp5yy7,w2biie,NewbiePhotogSG,1250,430,2021-03-08 16:10:43+08:00,False,False,False
xbnvn,igplvo0,w2biie,tictactorz,489,40651,2016-04-21 00:05:28+08:00,False,False,False
1q9ek7xt,igqchkf,w2biie,SarahLeeeee,28,121,2018-07-08 18:50:08+08:00,False,False,False
90ub8r1,igqdkag,w2biie,kimmyganny,2017,16069,2017-08-01 17:08:39+08:00,False,False,False
3cleewh,igp5xoz,w2biie,blackwoodsix,789,45857,2017-06-07 17:54:31+08:00,False,True,False
quu2jn8,igqbxab,w2biie,dreadiplomat110,106,12249,2018-01-16 17:03:16+08:00,False,False,False
6kuhjlk8,igo0tud,w246we,StareintotheSun2020,1417,49161,2020-10-13 19:04:38+08:00,False,False,False
4d7ythah,igpy7g4,w246we,bukitbukit,83,77762,2020-04-01 12:48:51+08:00,False,False,False
j7g1ftm4,igq9knb,w246we,QubitQuanta,1,8739,2022-01-31 19:01:24+08:00,False,False,False
22nk3x4m,ignykhe,w246we,ShadeX8,1,38416,2018-08-27 22:33:39+08:00,False,False,False
2vx2xcyw,ignvf7k,w246we,sneakpeek_bot,135,71275,2018-12-30 11:53:52+08:00,False,True,False
62xqunuw,igpjt20,w246we,PublicSummer0,5692,7297,2020-04-10 18:56:56+08:00,False,False,False
m1dvn,igphhbz,w246we,CSlv,1365,122547,2015-03-11 02:48:34+08:00,False,False,False
wn9plvi,igoxzan,w241fl,JulSGP,3095,21861,2018-10-04 13:01:27+08:00,False,False,False
2vx2xcyw,ignudrj,w241fl,sneakpeek_bot,135,71275,2018-12-30 11:53:52+08:00,False,True,False
hefkr17,igq4qn7,w241fl,6Hee9,1028,23811,2017-10-15 11:52:39+08:00,False,False,False
zzoa0,igqgtdw,w241fl,kongKing_11,69,5138,2016-08-01 00:53:59+08:00,False,False,False
s4tb1,ignq684,w23cgw,merelyok,48682,105155,2015-11-18 01:04:00+08:00,False,False,False
nnoonp9,igns8dx,w23cgw,shimmynywimminy,13198,101389,2017-12-09 20:10:29+08:00,False,False,False
cye9cwy4,ignu7zk,w23cgw,PastLettuce8943,74,15279,2021-06-27 04:16:09+08:00,False,False,False
nem1p,igobwhw,w23cgw,BakeMate,1014,7568,2015-05-11 13:25:36+08:00,False,False,False
k78dxxvs,igpq7i6,w23cgw,shopchin,9,408,2022-03-01 11:21:13+08:00,False,False,False
glihknpe,igpn252,w23cgw,ChocolatePurple4525,33,726,2021-11-16 15:12:18+08:00,False,False,False
8ev11,igpz1x6,w23cgw,jacobsnemesis,7154,94307,2012-07-22 21:01:25+08:00,False,False,False
aoztmhy0,ignxm89,w23cgw,hafchiu_pangsai,43,24793,2021-03-04 09:35:27+08:00,False,True,False
a6qp8yum,igo0lla,w23cgw,fall1n1RWI,293,14781,2021-05-25 21:51:59+08:00,True,False,False
