,author_id,post_id,author_name,link_karma,comment_karma,acc_creation_date,is_gold,is_mod,is_employee
432,e7374,veaaxb,vaultofechoes,243961,106236,1386153959.0,False,True,False
433,46ldeyud,ve9y1n,Jonnyboo234,10349,511,1563467367.0,False,False,False
434,5drps2e1,ve9c0p,patricklhe,10287,12737,1578300058.0,False,False,False
435,1eqdt8vc,ve95xe,lobangbecausenomoney,13458,19387,1526833868.0,False,False,False
436,9zehd,ve7xw0,natnoj,494,149,1356294435.0,False,False,False
437,6z4wpym0,ve7xg9,MicrotechAnalysis,126523,13038,1592564304.0,False,False,False
438,mnfmw2yl,ve7l2v,AsparagusTamer,199,3713,1651546300.0,False,False,False
439,1ae8o0nv,ve76sr,Hazelnut526,1665,17195,1525190651.0,False,False,False
440,au1pv8l8,ve5sso,Thefunincaifun,22159,37145,1615431095.0,False,False,False
441,uazlr,ve5ad1,justmewayne,28473,20008,1454291740.0,False,False,False
442,6z4wpym0,ve4nij,MicrotechAnalysis,126523,13038,1592564304.0,False,False,False
443,8ixp3aww,ve4jvu,sexyhades69,10893,37275,1605924355.0,False,False,False
444,am0eouxu,ve49ul,Familiar-Mouse4490,16502,45339,1614519353.0,False,False,False
445,1eqdt8vc,ve46bj,lobangbecausenomoney,13458,19387,1526833868.0,False,False,False
446,9kmca,ve408d,leo-g,33991,128772,1352656672.0,False,True,False
447,2vhqh2t,ve2gn0,demannu86,5618,55100,1499174708.0,False,False,False
448,6z4wpym0,ve1aif,MicrotechAnalysis,126523,13038,1592564304.0,False,False,False
449,js4uzrh2,ve0zww,unliketrap,4419,7599,1645076991.0,False,False,False
450,uazlr,ve0hvv,justmewayne,28473,20008,1454291740.0,False,False,False
451,6l4z3,vdx5sc,AutoModerator,1000,1000,1325741068.0,True,True,False
452,4pdllhaw,vdwzdp,NaniWhatTheThe,206,392,1636299242.0,False,False,False
453,ip6uk,vdsm6s,avox9,4727,194,1412414117.0,False,False,False
454,6z4wpym0,vdrssd,MicrotechAnalysis,126523,13038,1592564304.0,False,False,False
